state,AGRICULTURE AND FARMERS WELFARE,ATOMIC ENERGY,AYUSH,CHEMICALS AND FERTILIZERS,CIVIL AVIATION,COAL,COMMERCE AND INDUSTRY,COMMUNICATION,COMMUNICATIONS,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",COOPERATION,CORPORATE AFFAIRS,CULTURE,DEFENCE,DEVELOPMENT OF NORTH EASTERN REGION,EARTH SCIENCES,EDUCATION,ELECTRONICS AND INFORMATION TECHNOLOGY,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",EXTERNAL AFFAIRS,FINANCE,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",FOOD PROCESSING INDUSTRIES,HEALTH AND FAMILY WELFARE,HEAVY INDUSTRIES,HOME AFFAIRS,HOUSING AND URBAN AFFAIRS,INFORMATION AND BROADCASTING,JAL SHAKTI,LABOUR AND EMPLOYMENT,LAW & JUSTICE,LAW AND JUSTICE,"MICRO, SMALL AND MEDIUM ENTERPRISES",MINES,MINORITY AFFAIRS,NEW AND RENEWABLE ENERGY,PANCHAYATI RAJ,PARLIAMENTARY AFFAIRS,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",PETROLEUM AND NATURAL GAS,PLANNING,"PORTS, SHIPPING AND WATERWAYS",POWER,PRIME MINISTER,RAILWAYS,ROAD TRANSPORT & HIGH WAYS,ROAD TRANSPORT AND HIGHWAYS,RURAL DEVELOPMENT,SCIENCE AND TECHNOLOGY,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,SOCIAL JUSTICE AND EMPOWERMENT,SPACE,STATISTICS AND PROGRAMME IMPLEMENTATION,STEEL,TEXTILES,TOURISM,TRIBAL AFFAIRS,WOMEN AND CHILD DEVELOPMENT,YOUTH AFFAIRS AND SPORTS
Bihar,153,19,72,73,137,29,67,15,42,85,55,44,63,13,2,14,191,47,86,56,128,54,44,213,16,79,85,24,124,102,27,22,36,23,34,42,25,5,4,10,62,20,48,48,0,198,31,100,98,20,42,72,10,25,14,45,60,33,74,52
Dadra and Nagar Haveli and Daman and Diu,10,0,7,15,0,0,0,7,7,14,2,1,3,0,0,1,15,7,13,2,9,11,2,22,0,9,10,0,12,9,0,6,4,0,0,8,9,2,2,0,6,2,1,3,0,5,0,19,13,4,6,11,0,8,0,4,6,9,11,10
Sikkim,5,0,2,1,7,0,4,1,0,3,0,2,3,0,4,2,6,2,3,3,2,3,1,1,0,1,2,1,2,2,1,1,1,0,2,2,0,0,0,0,1,0,0,1,0,1,2,3,3,1,1,1,0,0,0,2,4,3,3,2
Assam,40,5,17,18,26,18,25,2,4,25,19,9,21,0,49,11,49,11,28,10,28,17,12,57,6,43,26,1,46,29,3,5,20,5,6,23,15,0,1,1,17,1,15,22,0,60,15,23,25,6,15,15,4,7,2,13,32,23,19,17
Odisha,117,14,101,55,107,61,66,16,52,60,42,35,82,8,9,23,119,43,84,43,72,47,39,115,13,31,68,17,79,48,46,15,54,39,29,41,21,2,3,9,50,12,44,25,0,90,51,35,53,16,50,36,20,13,28,47,49,71,58,44
Madhya Pradesh,101,15,43,34,57,34,46,9,24,51,21,32,38,4,5,12,77,33,53,19,57,29,39,88,18,20,61,19,61,42,17,14,34,21,7,50,36,4,7,8,53,7,23,32,0,94,23,38,50,20,32,36,9,15,19,26,41,32,54,47
Chhattisgarh,29,8,11,19,44,20,20,9,10,34,13,19,16,2,6,8,53,17,39,13,36,18,13,65,6,12,17,10,34,22,11,11,17,16,7,16,12,0,0,8,24,2,6,14,0,49,17,11,29,10,23,19,7,4,16,12,19,28,24,19
Jharkhand,54,12,42,33,71,54,22,7,16,30,50,23,30,4,7,8,52,22,57,17,41,17,21,61,16,30,32,12,52,35,8,10,23,21,11,39,15,1,4,2,33,3,11,24,0,69,13,24,28,8,24,29,5,6,38,22,28,37,42,34
Himachal Pradesh,35,12,16,17,44,7,8,5,16,13,17,9,9,5,0,17,29,10,28,7,14,14,6,64,3,20,19,5,31,14,6,0,13,5,6,15,12,2,3,2,7,3,13,19,0,36,24,23,32,10,7,9,3,1,6,8,29,17,18,19
Tripura,3,5,5,0,2,0,4,1,1,0,3,4,2,0,13,0,7,3,3,2,4,1,2,10,2,3,5,6,6,7,0,3,3,4,1,2,0,1,1,0,2,2,5,6,0,6,0,5,1,0,3,1,1,1,0,2,4,8,6,1
