ministry_a,ministry_b,shared_mps
CIVIL AVIATION,COMMERCE AND INDUSTRY,417
FINANCE,RURAL DEVELOPMENT,416
FINANCE,LABOUR AND EMPLOYMENT,414
"MICRO, SMALL AND MEDIUM ENTERPRISES",RAILWAYS,414
ROAD TRANSPORT AND HIGHWAYS,TOURISM,414
AGRICULTURE AND FARMERS WELFARE,"MICRO, SMALL AND MEDIUM ENTERPRISES",413
AGRICULTURE AND FARMERS WELFARE,COMMUNICATIONS,411
HEALTH AND FAMILY WELFARE,SOCIAL JUSTICE AND EMPOWERMENT,411
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","ENVIRONMENT, FOREST AND CLIMATE CHANGE",410
EDUCATION,"MICRO, SMALL AND MEDIUM ENTERPRISES",410
HOUSING AND URBAN AFFAIRS,RURAL DEVELOPMENT,410
CULTURE,HEALTH AND FAMILY WELFARE,409
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",LABOUR AND EMPLOYMENT,409
CIVIL AVIATION,WOMEN AND CHILD DEVELOPMENT,408
COMMUNICATIONS,EDUCATION,408
HEALTH AND FAMILY WELFARE,NEW AND RENEWABLE ENERGY,408
PETROLEUM AND NATURAL GAS,RAILWAYS,408
COMMUNICATIONS,RAILWAYS,407
HEALTH AND FAMILY WELFARE,YOUTH AFFAIRS AND SPORTS,407
AYUSH,HEALTH AND FAMILY WELFARE,406
CHEMICALS AND FERTILIZERS,CIVIL AVIATION,406
COMMERCE AND INDUSTRY,FINANCE,406
JAL SHAKTI,TOURISM,406
CIVIL AVIATION,TOURISM,405
HOUSING AND URBAN AFFAIRS,LABOUR AND EMPLOYMENT,405
AGRICULTURE AND FARMERS WELFARE,PETROLEUM AND NATURAL GAS,403
AGRICULTURE AND FARMERS WELFARE,YOUTH AFFAIRS AND SPORTS,403
COMMERCE AND INDUSTRY,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",403
ELECTRONICS AND INFORMATION TECHNOLOGY,HEALTH AND FAMILY WELFARE,403
EDUCATION,PETROLEUM AND NATURAL GAS,402
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",RURAL DEVELOPMENT,401
LABOUR AND EMPLOYMENT,RURAL DEVELOPMENT,401
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",HOUSING AND URBAN AFFAIRS,401
FINANCE,WOMEN AND CHILD DEVELOPMENT,400
RAILWAYS,YOUTH AFFAIRS AND SPORTS,400
CULTURE,EDUCATION,399
HEALTH AND FAMILY WELFARE,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,398
JAL SHAKTI,"MICRO, SMALL AND MEDIUM ENTERPRISES",398
RAILWAYS,SOCIAL JUSTICE AND EMPOWERMENT,398
AGRICULTURE AND FARMERS WELFARE,CULTURE,397
LABOUR AND EMPLOYMENT,WOMEN AND CHILD DEVELOPMENT,397
AGRICULTURE AND FARMERS WELFARE,NEW AND RENEWABLE ENERGY,396
AGRICULTURE AND FARMERS WELFARE,SOCIAL JUSTICE AND EMPOWERMENT,396
EDUCATION,YOUTH AFFAIRS AND SPORTS,396
RURAL DEVELOPMENT,WOMEN AND CHILD DEVELOPMENT,396
AYUSH,RAILWAYS,395
CHEMICALS AND FERTILIZERS,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",395
CULTURE,RAILWAYS,395
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",WOMEN AND CHILD DEVELOPMENT,395
COMMERCE AND INDUSTRY,HOUSING AND URBAN AFFAIRS,395
AGRICULTURE AND FARMERS WELFARE,AYUSH,394
COMMUNICATIONS,ROAD TRANSPORT AND HIGHWAYS,394
"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",HEALTH AND FAMILY WELFARE,394
CHEMICALS AND FERTILIZERS,FINANCE,393
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",WOMEN AND CHILD DEVELOPMENT,393
"ENVIRONMENT, FOREST AND CLIMATE CHANGE",TOURISM,393
NEW AND RENEWABLE ENERGY,RAILWAYS,393
RAILWAYS,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,393
CHEMICALS AND FERTILIZERS,HOUSING AND URBAN AFFAIRS,393
AGRICULTURE AND FARMERS WELFARE,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,392
ELECTRONICS AND INFORMATION TECHNOLOGY,RAILWAYS,392
HOUSING AND URBAN AFFAIRS,WOMEN AND CHILD DEVELOPMENT,392
EDUCATION,SOCIAL JUSTICE AND EMPOWERMENT,391
"MICRO, SMALL AND MEDIUM ENTERPRISES",ROAD TRANSPORT AND HIGHWAYS,391
COMMERCE AND INDUSTRY,LABOUR AND EMPLOYMENT,390
COMMUNICATIONS,JAL SHAKTI,390
HEALTH AND FAMILY WELFARE,POWER,389
JAL SHAKTI,PETROLEUM AND NATURAL GAS,389
EDUCATION,ELECTRONICS AND INFORMATION TECHNOLOGY,388
EDUCATION,NEW AND RENEWABLE ENERGY,388
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",LABOUR AND EMPLOYMENT,387
CHEMICALS AND FERTILIZERS,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",386
AGRICULTURE AND FARMERS WELFARE,POWER,385
HOUSING AND URBAN AFFAIRS,TOURISM,385
CIVIL AVIATION,COMMUNICATIONS,384
JAL SHAKTI,SOCIAL JUSTICE AND EMPOWERMENT,384
AGRICULTURE AND FARMERS WELFARE,ELECTRONICS AND INFORMATION TECHNOLOGY,383
CIVIL AVIATION,"MICRO, SMALL AND MEDIUM ENTERPRISES",383
FINANCE,TOURISM,383
"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",RAILWAYS,383
AYUSH,EDUCATION,382
ROAD TRANSPORT AND HIGHWAYS,YOUTH AFFAIRS AND SPORTS,382
CHEMICALS AND FERTILIZERS,RURAL DEVELOPMENT,381
COMMUNICATIONS,FINANCE,381
CULTURE,JAL SHAKTI,381
CULTURE,ROAD TRANSPORT AND HIGHWAYS,381
POWER,RAILWAYS,381
EDUCATION,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",381
CHEMICALS AND FERTILIZERS,LABOUR AND EMPLOYMENT,380
COMMERCE AND INDUSTRY,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",380
EDUCATION,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,380
HEALTH AND FAMILY WELFARE,HOME AFFAIRS,380
JAL SHAKTI,YOUTH AFFAIRS AND SPORTS,380
RURAL DEVELOPMENT,TOURISM,380
AGRICULTURE AND FARMERS WELFARE,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",380
CIVIL AVIATION,PETROLEUM AND NATURAL GAS,379
ROAD TRANSPORT AND HIGHWAYS,SOCIAL JUSTICE AND EMPOWERMENT,379
HOUSING AND URBAN AFFAIRS,"MICRO, SMALL AND MEDIUM ENTERPRISES",379
COMMERCE AND INDUSTRY,RURAL DEVELOPMENT,378
PETROLEUM AND NATURAL GAS,ROAD TRANSPORT AND HIGHWAYS,378
AYUSH,CIVIL AVIATION,377
EDUCATION,POWER,377
NEW AND RENEWABLE ENERGY,ROAD TRANSPORT AND HIGHWAYS,377
CIVIL AVIATION,CULTURE,375
AYUSH,JAL SHAKTI,374
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",PETROLEUM AND NATURAL GAS,374
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",TOURISM,374
