node,type,label,pagerank
ministry:PARLIAMENTARY AFFAIRS,ministry,PARLIAMENTARY AFFAIRS,0.00069
topic:welfare,topic,welfare,0.000677
topic:states,topic,states,0.000677
topic:medical,topic,medical,0.000676
topic:progress,topic,progress,0.000672
topic:employment,topic,employment,0.000657
topic:indian,topic,indian,0.00064
topic:beneficiaries,topic,beneficiaries,0.00064
topic:increase,topic,increase,0.000637
topic:services,topic,services,0.000618
topic:companies,topic,companies,0.000615
topic:tamil,topic,tamil,0.000613
topic:nadu,topic,nadu,0.000613
topic:ladakh,topic,ladakh,0.000607
topic:projects tamil,topic,projects tamil,0.000604
topic:projects andhra,topic,projects andhra,0.000601
topic:maharashtra,topic,maharashtra,0.0006
topic:railway station,topic,railway station,0.000595
topic:data,topic,data,0.000586
topic:special,topic,special,0.000584
topic:system,topic,system,0.000583
topic:cases,topic,cases,0.000577
topic:baghpat,topic,baghpat,0.000577
topic:workers,topic,workers,0.000576
topic:jal jeevan,topic,jal jeevan,0.000576
topic:daman diu,topic,daman diu,0.000571
topic:climate change,topic,climate change,0.000569
topic:jeevan mission,topic,jeevan mission,0.000567
topic:region,topic,region,0.000566
topic:sikkim,topic,sikkim,0.000566
topic:urban,topic,urban,0.000562
topic:drinking water,topic,drinking water,0.000559
topic:oil,topic,oil,0.000558
topic:depot,topic,depot,0.000558
topic:agricultural,topic,agricultural,0.000556
topic:allocation,topic,allocation,0.000554
topic:coal,topic,coal,0.000553
topic:airport,topic,airport,0.00055
topic:vuakmual,topic,vuakmual,0.00055
topic:churachandpur,topic,churachandpur,0.00055
topic:hospital,topic,hospital,0.00055
topic:college,topic,college,0.00055
topic:manipur,topic,manipur,0.00055
topic:noc,topic,noc,0.00055
topic:installation,topic,installation,0.00055
topic:indian fishermen,topic,indian fishermen,0.00055
topic:sri,topic,sri,0.00055
topic:mgnregs,topic,mgnregs,0.000547
topic:road,topic,road,0.000545
topic:initiatives,topic,initiatives,0.000542
topic:review,topic,review,0.000538
topic:areas,topic,areas,0.000533
topic:training,topic,training,0.000527
topic:schools,topic,schools,0.000522
topic:srinagar,topic,srinagar,0.000521
topic:tunnel,topic,tunnel,0.000521
topic:facilities,topic,facilities,0.00052
topic:trains,topic,trains,0.000519
topic:centres,topic,centres,0.000515
topic:bodoland territorial,topic,bodoland territorial,0.000514
topic:technology,topic,technology,0.000513
topic:decline,topic,decline,0.000509
topic:against,topic,against,0.000505
topic:projects odisha,topic,projects odisha,0.000504
topic:mumbai,topic,mumbai,0.000504
topic:food,topic,food,0.000504
topic:support,topic,support,0.000504
topic:vacancies ministry,topic,vacancies ministry,0.000504
topic:setting,topic,setting,0.000504
topic:financial,topic,financial,0.0005
topic:yojana,topic,yojana,0.0005
topic:organic,topic,organic,0.0005
topic:groundwater,topic,groundwater,0.000498
topic:territorial region,topic,territorial region,0.000497
topic:tirupati,topic,tirupati,0.000495
topic:ner,topic,ner,0.000494
topic:youth,topic,youth,0.000494
topic:airports,topic,airports,0.000492
topic:infrastructure odisha,topic,infrastructure odisha,0.000492
topic:development odisha,topic,development odisha,0.000492
topic:bhubaneswar,topic,bhubaneswar,0.000492
topic:shortage,topic,shortage,0.000492
topic:self,topic,self,0.000491
topic:express,topic,express,0.00049
topic:project,topic,project,0.000489
topic:salem,topic,salem,0.000489
topic:cauvery,topic,cauvery,0.000489
topic:fertilizers,topic,fertilizers,0.000489
topic:lanka,topic,lanka,0.000489
topic:kollam,topic,kollam,0.000489
topic:quality,topic,quality,0.000488
topic:budget,topic,budget,0.000487
topic:communities,topic,communities,0.000487
topic:land,topic,land,0.000485
topic:coal mining,topic,coal mining,0.000482
topic:inclusion,topic,inclusion,0.000482
topic:giridih,topic,giridih,0.000482
topic:steel,topic,steel,0.000482
topic:central,topic,central,0.00048
topic:nagaur,topic,nagaur,0.000479
topic:products,topic,products,0.000477
topic:regulation,topic,regulation,0.000477
topic:revenue,topic,revenue,0.000474
topic:through,topic,through,0.000472
topic:rural,topic,rural,0.000471
topic:cyber,topic,cyber,0.00047
topic:expenditure,topic,expenditure,0.00047
topic:non,topic,non,0.00047
topic:tourism,topic,tourism,0.000469
topic:north,topic,north,0.000467
topic:study,topic,study,0.000467
topic:operational,topic,operational,0.000464
topic:navic,topic,navic,0.000464
topic:constellation,topic,constellation,0.000464
topic:emerging,topic,emerging,0.000464
topic:technologies,topic,technologies,0.000464
topic:improvements,topic,improvements,0.000464
topic:highways,topic,highways,0.000464
topic:ginger,topic,ginger,0.000463
topic:hub,topic,hub,0.000463
topic:sasci,topic,sasci,0.000463
topic:works,topic,works,0.000463
topic:ministry,topic,ministry,0.000463
topic:mining,topic,mining,0.000463
topic:metro rail,topic,metro rail,0.000459
topic:infrastructure tamil,topic,infrastructure tamil,0.000459
topic:msmes,topic,msmes,0.000458
topic:sikar,topic,sikar,0.000458
topic:post,topic,post,0.000457
topic:offices,topic,offices,0.000457
topic:district,topic,district,0.000457
topic:closure,topic,closure,0.000457
topic:gold,topic,gold,0.000457
topic:coastal,topic,coastal,0.000456
topic:drug,topic,drug,0.000455
topic:kishtwar,topic,kishtwar,0.000455
topic:jamui,topic,jamui,0.000455
topic:crisis,topic,crisis,0.000454
topic:tea,topic,tea,0.000452
topic:rising cases,topic,rising cases,0.00045
topic:international,topic,international,0.00045
topic:domestic,topic,domestic,0.00045
topic:trade,topic,trade,0.00045
topic:education,topic,education,0.00045
topic:management,topic,management,0.000449
topic:industrial,topic,industrial,0.000448
topic:nagar haveli,topic,nagar haveli,0.000448
topic:irregularities,topic,irregularities,0.000447
topic:stubble burning,topic,stubble burning,0.000446
topic:sikhs,topic,sikhs,0.000446
topic:procurement,topic,procurement,0.000446
topic:pension,topic,pension,0.000445
topic:shirdi,topic,shirdi,0.000444
topic:measures,topic,measures,0.000444
topic:environmental,topic,environmental,0.000444
topic:community,topic,community,0.000444
topic:list,topic,list,0.000444
topic:lack,topic,lack,0.000442
topic:strengthening,topic,strengthening,0.000442
topic:use,topic,use,0.000442
topic:students,topic,students,0.000442
topic:dadra nagar,topic,dadra nagar,0.000441
topic:kargil,topic,kargil,0.000441
topic:udaipur,topic,udaipur,0.000441
topic:gram,topic,gram,0.000441
topic:anganwadi,topic,anganwadi,0.000441
topic:scs sts,topic,scs sts,0.000439
topic:forest,topic,forest,0.000439
topic:pollution,topic,pollution,0.000438
topic:employees,topic,employees,0.000435
topic:protection,topic,protection,0.000435
topic:bhiwandi,topic,bhiwandi,0.000434
topic:assistance,topic,assistance,0.000434
topic:machilipatnam,topic,machilipatnam,0.000434
topic:nhpc,topic,nhpc,0.000433
topic:north east,topic,north east,0.000433
topic:nomadic,topic,nomadic,0.000433
topic:heritage,topic,heritage,0.000431
topic:research,topic,research,0.000431
topic:tag,topic,tag,0.000431
topic:methi,topic,methi,0.000431
topic:loans,topic,loans,0.000431
topic:act,topic,act,0.000431
topic:railway projects,topic,railway projects,0.000431
topic:guwahati,topic,guwahati,0.000431
topic:kendriya,topic,kendriya,0.000431
topic:vidyalayas,topic,vidyalayas,0.000431
topic:people,topic,people,0.000431
topic:life,topic,life,0.000429
topic:satellite,topic,satellite,0.000429
topic:based,topic,based,0.000429
topic:internet,topic,internet,0.000429
topic:multi,topic,multi,0.000429
topic:international airport,topic,international airport,0.000429
topic:rising incidence,topic,rising incidence,0.000429
topic:drug trafficking,topic,drug trafficking,0.000429
topic:weather forecasting,topic,weather forecasting,0.000429
topic:rising,topic,rising,0.000428
topic:public,topic,public,0.000423
topic:export,topic,export,0.000423
topic:vijayawada,topic,vijayawada,0.000423
topic:csr funds,topic,csr funds,0.000423
topic:scheduled areas,topic,scheduled areas,0.000423
topic:banswara dungarpur,topic,banswara dungarpur,0.000423
topic:projects maharashtra,topic,projects maharashtra,0.000422
topic:power,topic,power,0.000421
topic:vacancies,topic,vacancies,0.000421
topic:border,topic,border,0.00042
topic:wheat,topic,wheat,0.00042
topic:traditional fisherfolk,topic,traditional fisherfolk,0.00042
topic:asha workers,topic,asha workers,0.00042
topic:utilisation,topic,utilisation,0.00042
topic:mission tamil,topic,mission tamil,0.000418
topic:train,topic,train,0.000417
topic:stoppage,topic,stoppage,0.000417
topic:thiruverumbur,topic,thiruverumbur,0.000417
topic:proposal,topic,proposal,0.000416
topic:rail,topic,rail,0.000416
topic:performance,topic,performance,0.000416
topic:growing,topic,growing,0.000416
topic:uttar,topic,uttar,0.000415
topic:pradesh,topic,pradesh,0.000415
topic:between,topic,between,0.000415
topic:assessment,topic,assessment,0.000415
topic:complaints,topic,complaints,0.000415
topic:waqf,topic,waqf,0.000414
