party,ministry,questions,ministry_total,party_total,lift
BAP,PANCHAYATI RAJ,2,573,138,1.502
RJD,EDUCATION,38,2802,537,1.5
RLM,"MICRO, SMALL AND MEDIUM ENTERPRISES",1,1131,35,1.5
SAD,LAW AND JUSTICE,2,911,87,1.498
NCP(SP),"MICRO, SMALL AND MEDIUM ENTERPRISES",20,1131,704,1.492
BRS,TOURISM,8,1076,296,1.492
RLM,PETROLEUM AND NATURAL GAS,1,1138,35,1.491
AIMIM,TEXTILES,2,699,114,1.49
CPI,COMMERCE AND INDUSTRY,14,1356,412,1.488
MDMK,CIVIL AVIATION,8,2129,150,1.488
AITC,STATISTICS AND PROGRAMME IMPLEMENTATION,20,314,2544,1.487
RLD,YOUTH AFFAIRS AND SPORTS,3,1024,117,1.487
BRS,HEAVY INDUSTRIES,3,406,296,1.482
IUML,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,15,882,682,1.481
SKM,LAW AND JUSTICE,1,911,44,1.481
SP,JAL SHAKTI,116,1997,2331,1.48
RLP,POWER,3,830,145,1.48
VCK,HEALTH AND FAMILY WELFARE,19,3550,215,1.478
LJSP(RV),ATOMIC ENERGY,3,437,276,1.477
SAD,RURAL DEVELOPMENT,3,1389,87,1.474
AGP,COAL,1,661,61,1.473
BJD,CULTURE,27,1069,1019,1.472
LJSP(RV),YOUTH AFFAIRS AND SPORTS,7,1024,276,1.471
BJD,SPACE,6,238,1019,1.469
AIMIM,HEALTH AND FAMILY WELFARE,10,3550,114,1.467
JD(U),TOURISM,27,1076,1018,1.464
LJSP(RV),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,6,882,276,1.464
IUML,"MICRO, SMALL AND MEDIUM ENTERPRISES",19,1131,682,1.463
RLD,RURAL DEVELOPMENT,4,1389,117,1.462
AGP,JAL SHAKTI,3,1997,61,1.462
NOM.,JAL SHAKTI,14,1997,285,1.461
Unknown,PANCHAYATI RAJ,2,573,142,1.46
UPPL,EXTERNAL AFFAIRS,3,1026,119,1.459
KEC,"PORTS, SHIPPING AND WATERWAYS",1,769,53,1.457
DMDK,LABOUR AND EMPLOYMENT,1,1570,26,1.455
CPI(ML)(L),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",5,1021,200,1.454
RLD,TEXTILES,2,699,117,1.452
NCP,JAL SHAKTI,10,1997,205,1.45
SS,AGRICULTURE AND FARMERS WELFARE,76,2754,1132,1.448
JMM,CULTURE,5,1069,192,1.447
SKM,EDUCATION,3,2802,44,1.445
AITC,HOME AFFAIRS,65,1051,2544,1.444
CPI(M),LABOUR AND EMPLOYMENT,42,1570,1102,1.442
JSP,DEFENCE,1,186,222,1.438
LJSP(RV),SOCIAL JUSTICE AND EMPOWERMENT,7,1048,276,1.437
BRS,TEXTILES,5,699,296,1.435
J&KNC,INFORMATION AND BROADCASTING,1,465,89,1.435
BJD,PETROLEUM AND NATURAL GAS,28,1138,1019,1.434
NCP(SP),CHEMICALS AND FERTILIZERS,21,1235,704,1.434
RLM,HEALTH AND FAMILY WELFARE,3,3550,35,1.434
AIMIM,HOUSING AND URBAN AFFAIRS,5,1823,114,1.429
RLP,PANCHAYATI RAJ,2,573,145,1.429
UPPL,SOCIAL JUSTICE AND EMPOWERMENT,3,1048,119,1.428
UPPL,TEXTILES,2,699,119,1.428
NCP,HEAVY INDUSTRIES,2,406,205,1.427
SHS(UBT),EARTH SCIENCES,7,425,686,1.426
NOM.,COOPERATION,5,731,285,1.425
KC(M),CHEMICALS AND FERTILIZERS,4,1235,135,1.425
IUML,TRIBAL AFFAIRS,13,796,682,1.422
CPI,HEAVY INDUSTRIES,4,406,412,1.42
CPI(M),CIVIL AVIATION,56,2129,1102,1.417
PMK,WOMEN AND CHILD DEVELOPMENT,1,1271,33,1.416
JD(U),ROAD TRANSPORT AND HIGHWAYS,50,2061,1018,1.415
IND.,NEW AND RENEWABLE ENERGY,23,995,971,1.414
Unknown,HEALTH AND FAMILY WELFARE,12,3550,142,1.414
AAP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",34,1809,790,1.413
JD(S),EDUCATION,2,2802,30,1.413
CPI(M),RAILWAYS,76,2900,1102,1.412
RJD,PLANNING,3,235,537,1.412
SP,PETROLEUM AND NATURAL GAS,63,1138,2331,1.41
RJD,STATISTICS AND PROGRAMME IMPLEMENTATION,4,314,537,1.409
UPPL,HEALTH AND FAMILY WELFARE,10,3550,119,1.406
JSP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",7,1332,222,1.406
BJD,COMMUNICATIONS,27,1120,1019,1.405
TDP,TRIBAL AFFAIRS,41,796,2178,1.404
TDP,TEXTILES,36,699,2178,1.404
BRS,MINES,3,429,296,1.403
LJSP(RV),"PORTS, SHIPPING AND WATERWAYS",5,769,276,1.399
AAP,SCIENCE AND TECHNOLOGY,8,430,790,1.398
RSP,AGRICULTURE AND FARMERS WELFARE,7,2754,108,1.398
IND.,HOME AFFAIRS,24,1051,971,1.396
NCP,POWER,4,830,205,1.396
YSRCP,PARLIAMENTARY AFFAIRS,2,67,1271,1.395
BJP,SCIENCE AND TECHNOLOGY,231,430,22881,1.394
NCP(SP),WOMEN AND CHILD DEVELOPMENT,21,1271,704,1.394
LJSP(RV),CHEMICALS AND FERTILIZERS,8,1235,276,1.394
MNM,HEALTH AND FAMILY WELFARE,1,3550,12,1.394
AAP,JAL SHAKTI,37,1997,790,1.393
DMK,EXTERNAL AFFAIRS,85,1026,3537,1.391
RLP,ROAD TRANSPORT AND HIGHWAYS,7,2061,145,1.391
NCP(SP),ELECTRONICS AND INFORMATION TECHNOLOGY,16,971,704,1.39
AJSU,COMMERCE AND INDUSTRY,2,1356,63,1.39
CPI(M),CORPORATE AFFAIRS,19,737,1102,1.389
NCP(SP),EARTH SCIENCES,7,425,704,1.389
SHS(UBT),ATOMIC ENERGY,7,437,686,1.387
Unknown,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",6,1809,142,1.387
BJD,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",43,1809,1019,1.385
KC(M),WOMEN AND CHILD DEVELOPMENT,4,1271,135,1.384
AITC,LABOUR AND EMPLOYMENT,93,1570,2544,1.383
DMK,CULTURE,88,1069,3537,1.382
JMM,LABOUR AND EMPLOYMENT,7,1570,192,1.379
RSP,JAL SHAKTI,5,1997,108,1.377
IUML,TOURISM,17,1076,682,1.376
SS,RAILWAYS,76,2900,1132,1.375
RJD,RAILWAYS,36,2900,537,1.373
CPI(M),STATISTICS AND PROGRAMME IMPLEMENTATION,8,314,1102,1.373
AJSU,ROAD TRANSPORT AND HIGHWAYS,3,2061,63,1.372
SAD,NEW AND RENEWABLE ENERGY,2,995,87,1.372
Unknown,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1,305,142,1.371
BAP,LABOUR AND EMPLOYMENT,5,1570,138,1.37
LJSP(RV),STATISTICS AND PROGRAMME IMPLEMENTATION,2,314,276,1.37
BAP,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,138,1.37
AAP,FOOD PROCESSING INDUSTRIES,14,770,790,1.367
NCP,WOMEN AND CHILD DEVELOPMENT,6,1271,205,1.367
DMK,"MICRO, SMALL AND MEDIUM ENTERPRISES",92,1131,3537,1.366
KC(M),ELECTRONICS AND INFORMATION TECHNOLOGY,3,971,135,1.359
BJD,MINES,10,429,1019,1.358
AJSU,RURAL DEVELOPMENT,2,1389,63,1.357
IND.,HEAVY INDUSTRIES,9,406,971,1.356
SKM,NEW AND RENEWABLE ENERGY,1,995,44,1.356
RSP,HEAVY INDUSTRIES,1,406,108,1.354
VCK,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",5,1021,215,1.353
SS,HOUSING AND URBAN AFFAIRS,47,1823,1132,1.352
NCP(SP),ROAD TRANSPORT AND HIGHWAYS,33,2061,704,1.351
PMK,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1,1332,33,1.351
NOM.,RURAL DEVELOPMENT,9,1389,285,1.35
NOM.,CHEMICALS AND FERTILIZERS,8,1235,285,1.35
MDMK,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,3,882,150,1.347
SP,FINANCE,119,2253,2331,1.346
CPI(M),EDUCATION,70,2802,1102,1.346
NCP,TOURISM,5,1076,205,1.346
AJSU,EDUCATION,4,2802,63,1.346
YSRCP,COAL,19,661,1271,1.343
YSRCP,COOPERATION,21,731,1271,1.342
RJD,HEALTH AND FAMILY WELFARE,43,3550,537,1.339
IND.,COOPERATION,16,731,971,1.339
SS,PLANNING,6,235,1132,1.339
IUML,LAW AND JUSTICE,14,911,682,1.338
CPI(ML)(L),JAL SHAKTI,9,1997,200,1.338
RLD,PETROLEUM AND NATURAL GAS,3,1138,117,1.338
DMK,COMMERCE AND INDUSTRY,108,1356,3537,1.337
J&KNC,JAL SHAKTI,4,1997,89,1.336
CPI(M),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",33,1332,1102,1.335
SAD,YOUTH AFFAIRS AND SPORTS,2,1024,87,1.333
Unknown,LABOUR AND EMPLOYMENT,5,1570,142,1.332
DMK,ELECTRONICS AND INFORMATION TECHNOLOGY,77,971,3537,1.331
CPI(ML)(L),RAILWAYS,13,2900,200,1.331
BJP,STEEL,171,334,22881,1.329
ASP (KR),HOME AFFAIRS,2,1051,85,1.329
AJSU,HEALTH AND FAMILY WELFARE,5,3550,63,1.328
NOM.,STATISTICS AND PROGRAMME IMPLEMENTATION,2,314,285,1.327
PMK,COMMERCE AND INDUSTRY,1,1356,33,1.327
BJD,CHEMICALS AND FERTILIZERS,28,1235,1019,1.321
AAP,YOUTH AFFAIRS AND SPORTS,18,1024,790,1.321
AGP,CORPORATE AFFAIRS,1,737,61,1.321
SP,CHEMICALS AND FERTILIZERS,64,1235,2331,1.32
CPI,ATOMIC ENERGY,4,437,412,1.319
BJD,TRIBAL AFFAIRS,18,796,1019,1.318
Unknown,WOMEN AND CHILD DEVELOPMENT,4,1271,142,1.316
BRS,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",2,305,296,1.315
JD(U),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",23,1021,1018,1.314
NCP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,4,882,205,1.314
CPI,"PORTS, SHIPPING AND WATERWAYS",7,769,412,1.312
JSP,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",5,1021,222,1.31
CPI,AGRICULTURE AND FARMERS WELFARE,25,2754,412,1.308
JMM,HEALTH AND FAMILY WELFARE,15,3550,192,1.307
IUML,EDUCATION,42,2802,682,1.305
NCP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",6,1332,205,1.305
CPI(ML)(L),AYUSH,5,1138,200,1.305
JSP,EXTERNAL AFFAIRS,5,1026,222,1.304
MDMK,LAW AND JUSTICE,3,911,150,1.304
SS,LABOUR AND EMPLOYMENT,39,1570,1132,1.303
J&KNC,YOUTH AFFAIRS AND SPORTS,2,1024,89,1.303
AIADMK,LABOUR AND EMPLOYMENT,24,1570,697,1.302
BAP,COAL,2,661,138,1.302
SHS(UBT),CIVIL AVIATION,32,2129,686,1.301
IUML,PETROLEUM AND NATURAL GAS,17,1138,682,1.301
JSP,CHEMICALS AND FERTILIZERS,6,1235,222,1.3
IUML,PARLIAMENTARY AFFAIRS,1,67,682,1.3
AIADMK,AGRICULTURE AND FARMERS WELFARE,42,2754,697,1.299
RJD,CIVIL AVIATION,25,2129,537,1.298
RSP,WOMEN AND CHILD DEVELOPMENT,3,1271,108,1.298
MDMK,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1,305,150,1.298
SS,"PORTS, SHIPPING AND WATERWAYS",19,769,1132,1.296
AITC,CIVIL AVIATION,118,2129,2544,1.294
BRS,INFORMATION AND BROADCASTING,3,465,296,1.294
IND.,CIVIL AVIATION,45,2129,971,1.293
VCK,CULTURE,5,1069,215,1.292
SHS(UBT),PARLIAMENTARY AFFAIRS,1,67,686,1.292
AAP,TEXTILES,12,699,790,1.29
SP,PANCHAYATI RAJ,29,573,2331,1.289
AIADMK,COAL,10,661,697,1.289
AJSU,COOPERATION,1,731,63,1.289
DMK,"PORTS, SHIPPING AND WATERWAYS",59,769,3537,1.288
AIADMK,RURAL DEVELOPMENT,21,1389,697,1.288
LJSP(RV),STEEL,2,334,276,1.288
CPI,CIVIL AVIATION,19,2129,412,1.286
BJP,HEAVY INDUSTRIES,201,406,22881,1.285
VCK,SCIENCE AND TECHNOLOGY,2,430,215,1.285
YSRCP,EDUCATION,77,2802,1271,1.284
BJP,MINES,212,429,22881,1.282
JD(U),PETROLEUM AND NATURAL GAS,25,1138,1018,1.281
VCK,EDUCATION,13,2802,215,1.281
IND.,PANCHAYATI RAJ,12,573,971,1.281
ZPM,RAILWAYS,1,2900,16,1.28
AJSU,CORPORATE AFFAIRS,1,737,63,1.279
RSP,SCIENCE AND TECHNOLOGY,1,430,108,1.279
KC(M),AGRICULTURE AND FARMERS WELFARE,8,2754,135,1.278
CPI(ML)(L),INFORMATION AND BROADCASTING,2,465,200,1.277
TDP,FOOD PROCESSING INDUSTRIES,36,770,2178,1.275
RLM,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1,1332,35,1.274
BJP,AYUSH,558,1138,22881,1.273
SS,ROAD TRANSPORT AND HIGHWAYS,50,2061,1132,1.273
AIADMK,PETROLEUM AND NATURAL GAS,17,1138,697,1.273
YSRCP,AGRICULTURE AND FARMERS WELFARE,75,2754,1271,1.272
DMK,LAW AND JUSTICE,69,911,3537,1.272
CPI(M),WOMEN AND CHILD DEVELOPMENT,30,1271,1102,1.272
J&KNC,HOME AFFAIRS,2,1051,89,1.27
SKM,CIVIL AVIATION,2,2129,44,1.268
NOM.,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",11,1809,285,1.267
Unknown,COAL,2,661,142,1.265
AITC,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",98,1809,2544,1.264
CPI(ML)(L),PLANNING,1,235,200,1.263
NCP(SP),MINORITY AFFAIRS,8,535,704,1.261
MDMK,LABOUR AND EMPLOYMENT,5,1570,150,1.261
BAP,YOUTH AFFAIRS AND SPORTS,3,1024,138,1.261
MDMK,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,150,1.261
JMM,CORPORATE AFFAIRS,3,737,192,1.259
NCP(SP),PARLIAMENTARY AFFAIRS,1,67,704,1.259
SP,POWER,41,830,2331,1.258
RSP,ATOMIC ENERGY,1,437,108,1.258
SP,FOOD PROCESSING INDUSTRIES,38,770,2331,1.257
SP,RAILWAYS,143,2900,2331,1.256
INC,DEFENCE,44,186,11184,1.256
AIADMK,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,13,882,697,1.256
IUML,ELECTRONICS AND INFORMATION TECHNOLOGY,14,971,682,1.255
BJD,DEFENCE,4,186,1019,1.253
DMDK,HOUSING AND URBAN AFFAIRS,1,1823,26,1.253
BJP,TOURISM,519,1076,22881,1.252
IND.,EXTERNAL AFFAIRS,21,1026,971,1.252
Unknown,STEEL,1,334,142,1.252
JD(U),EXTERNAL AFFAIRS,22,1026,1018,1.251
NOM.,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",8,1332,285,1.251
DMK,TEXTILES,52,699,3537,1.249
SS,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,21,882,1132,1.249
AIADMK,YOUTH AFFAIRS AND SPORTS,15,1024,697,1.248
CPI(ML)(L),SPACE,1,238,200,1.248
AIADMK,EDUCATION,41,2802,697,1.247
ASP (KR),EDUCATION,5,2802,85,1.247
JSP,MINES,2,429,222,1.247
AIADMK,EXTERNAL AFFAIRS,15,1026,697,1.246
VCK,JAL SHAKTI,9,1997,215,1.245
SHS(UBT),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",26,1809,686,1.244
JSP,SCIENCE AND TECHNOLOGY,2,430,222,1.244
BRS,HEALTH AND FAMILY WELFARE,22,3550,296,1.243
JSP,EDUCATION,13,2802,222,1.241
PMK,RAILWAYS,2,2900,33,1.241
AGP,LABOUR AND EMPLOYMENT,2,1570,61,1.24
YSRCP,"MICRO, SMALL AND MEDIUM ENTERPRISES",30,1131,1271,1.239
JD(U),WOMEN AND CHILD DEVELOPMENT,27,1271,1018,1.239
LJSP(RV),RURAL DEVELOPMENT,8,1389,276,1.239
RSP,HEALTH AND FAMILY WELFARE,8,3550,108,1.239
KEC,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",2,1809,53,1.239
SHS(UBT),COMMUNICATIONS,16,1120,686,1.237
CPI(M),"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",7,305,1102,1.237
ASP (KR),"MICRO, SMALL AND MEDIUM ENTERPRISES",2,1131,85,1.235
CPI(M),SOCIAL JUSTICE AND EMPOWERMENT,24,1048,1102,1.234
BJD,EARTH SCIENCES,9,425,1019,1.234
SS,CHEMICALS AND FERTILIZERS,29,1235,1132,1.232
RLM,AGRICULTURE AND FARMERS WELFARE,2,2754,35,1.232
AITC,WOMEN AND CHILD DEVELOPMENT,67,1271,2544,1.23
MDMK,FINANCE,7,2253,150,1.23
RLP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",4,1332,145,1.23
BJP,YOUTH AFFAIRS AND SPORTS,484,1024,22881,1.227
INC,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",418,1809,11184,1.227
VCK,FINANCE,10,2253,215,1.226
AIMIM,EARTH SCIENCES,1,425,114,1.226
BJP,NEW AND RENEWABLE ENERGY,469,995,22881,1.223
BJP,PANCHAYATI RAJ,270,573,22881,1.223
AIMIM,CIVIL AVIATION,5,2129,114,1.223
MDMK,ELECTRONICS AND INFORMATION TECHNOLOGY,3,971,150,1.223
RLD,POWER,2,830,117,1.223
IUML,CULTURE,15,1069,682,1.222
CPI(M),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",41,1809,1102,1.221
AAP,SOCIAL JUSTICE AND EMPOWERMENT,17,1048,790,1.219
RJD,JAL SHAKTI,22,1997,537,1.218
BJP,FOOD PROCESSING INDUSTRIES,361,770,22881,1.217
AAP,CHEMICALS AND FERTILIZERS,20,1235,790,1.217
BRS,EDUCATION,17,2802,296,1.217
KC(M),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",5,1809,135,1.216
AIADMK,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",19,1332,697,1.215
JSP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,4,882,222,1.213
UPPL,ROAD TRANSPORT AND HIGHWAYS,5,2061,119,1.211
BJP,SPACE,111,238,22881,1.21
BRS,NEW AND RENEWABLE ENERGY,6,995,296,1.21
CPI(ML)(L),CORPORATE AFFAIRS,3,737,200,1.209
LJSP(RV),CULTURE,6,1069,276,1.208
BAP,CULTURE,3,1069,138,1.208
JD(U),EDUCATION,58,2802,1018,1.207
RSP,LAW AND JUSTICE,2,911,108,1.207
LJSP(RV),MINORITY AFFAIRS,3,535,276,1.206
SKM,COMMUNICATIONS,1,1120,44,1.205
AITC,CORPORATE AFFAIRS,38,737,2544,1.204
Unknown,RURAL DEVELOPMENT,4,1389,142,1.204
IND.,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",6,305,971,1.203
KC(M),COOPERATION,2,731,135,1.203
AITC,ELECTRONICS AND INFORMATION TECHNOLOGY,50,971,2544,1.202
BJP,COAL,306,661,22881,1.201
AAP,FINANCE,36,2253,790,1.201
AJSU,LABOUR AND EMPLOYMENT,2,1570,63,1.201
BRS,STEEL,2,334,296,1.201
BJP,ATOMIC ENERGY,202,437,22881,1.2
AAP,CIVIL AVIATION,34,2129,790,1.2
RLP,YOUTH AFFAIRS AND SPORTS,3,1024,145,1.2
DMK,YOUTH AFFAIRS AND SPORTS,73,1024,3537,1.197
AITC,MINES,22,429,2544,1.197
SHS(UBT),HEALTH AND FAMILY WELFARE,49,3550,686,1.195
RLD,EARTH SCIENCES,1,425,117,1.194
BJD,EXTERNAL AFFAIRS,21,1026,1019,1.193
YSRCP,PLANNING,6,235,1271,1.193
SP,RURAL DEVELOPMENT,65,1389,2331,1.192
AIMIM,ATOMIC ENERGY,1,437,114,1.192
INC,SOCIAL JUSTICE AND EMPOWERMENT,235,1048,11184,1.191
J&KNC,EDUCATION,5,2802,89,1.191
INC,ROAD TRANSPORT AND HIGHWAYS,462,2061,11184,1.19
IND.,"MICRO, SMALL AND MEDIUM ENTERPRISES",22,1131,971,1.19
SS,PANCHAYATI RAJ,13,573,1132,1.19
RJD,INFORMATION AND BROADCASTING,5,465,537,1.189
YSRCP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",46,1809,1271,1.188
JSP,FINANCE,10,2253,222,1.187
BAP,RAILWAYS,8,2900,138,1.187
TDP,COMMERCE AND INDUSTRY,59,1356,2178,1.186
INC,RURAL DEVELOPMENT,310,1389,11184,1.185
BJD,EDUCATION,57,2802,1019,1.185
LJSP(RV),WOMEN AND CHILD DEVELOPMENT,7,1271,276,1.185
DMK,COMMUNICATIONS,79,1120,3537,1.184
NOM.,DEVELOPMENT OF NORTH EASTERN REGION,1,176,285,1.184
ASP (KR),HEALTH AND FAMILY WELFARE,6,3550,85,1.181
RLD,SCIENCE AND TECHNOLOGY,1,430,117,1.18
IND.,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,17,882,971,1.179
TDP,AGRICULTURE AND FARMERS WELFARE,119,2754,2178,1.178
NCP(SP),PANCHAYATI RAJ,8,573,704,1.178
JMM,HOME AFFAIRS,4,1051,192,1.177
SHS(UBT),ROAD TRANSPORT AND HIGHWAYS,28,2061,686,1.176
VCK,PLANNING,1,235,215,1.175
SP,LAW AND JUSTICE,42,911,2331,1.174
Unknown,CULTURE,3,1069,142,1.174
UPPL,EARTH SCIENCES,1,425,119,1.174
CPI,CORPORATE AFFAIRS,6,737,412,1.173
RLP,TEXTILES,2,699,145,1.172
RLM,RAILWAYS,2,2900,35,1.17
JD(U),TEXTILES,14,699,1018,1.168
AIADMK,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",14,1021,697,1.168
CPI,CHEMICALS AND FERTILIZERS,10,1235,412,1.167
KC(M),"MICRO, SMALL AND MEDIUM ENTERPRISES",3,1131,135,1.167
TDP,TOURISM,46,1076,2178,1.166
NCP(SP),TRIBAL AFFAIRS,11,796,704,1.166
Unknown,TOURISM,3,1076,142,1.166
BRS,AGRICULTURE AND FARMERS WELFARE,16,2754,296,1.165
SS,HEAVY INDUSTRIES,9,406,1132,1.163
UPPL,MINES,1,429,119,1.163
SP,WOMEN AND CHILD DEVELOPMENT,58,1271,2331,1.162
NOM.,TOURISM,6,1076,285,1.162
RLD,ATOMIC ENERGY,1,437,117,1.161
SS,NEW AND RENEWABLE ENERGY,22,995,1132,1.16
MDMK,YOUTH AFFAIRS AND SPORTS,3,1024,150,1.16
KC(M),PETROLEUM AND NATURAL GAS,3,1138,135,1.16
IUML,FINANCE,30,2253,682,1.159
CPI(M),INFORMATION AND BROADCASTING,10,465,1102,1.159
CPI(M),DEFENCE,4,186,1102,1.159
SHS(UBT),WOMEN AND CHILD DEVELOPMENT,17,1271,686,1.158
JMM,MINORITY AFFAIRS,2,535,192,1.156
BJP,CORPORATE AFFAIRS,328,737,22881,1.155
SP,HEALTH AND FAMILY WELFARE,161,3550,2331,1.155
AAP,LAW AND JUSTICE,14,911,790,1.155
KEC,ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,53,1.154
LJSP(RV),COMMUNICATIONS,6,1120,276,1.153
INC,HEALTH AND FAMILY WELFARE,770,3550,11184,1.152
CPI(ML)(L),ROAD TRANSPORT AND HIGHWAYS,8,2061,200,1.152
DMK,CIVIL AVIATION,146,2129,3537,1.151
YSRCP,HEAVY INDUSTRIES,10,406,1271,1.151
SHS(UBT),COMMERCE AND INDUSTRY,18,1356,686,1.149
BJP,HOME AFFAIRS,465,1051,22881,1.148
SHS(UBT),POWER,11,830,686,1.147
JD(U),CULTURE,21,1069,1018,1.146
BJP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,389,882,22881,1.145
TDP,SOCIAL JUSTICE AND EMPOWERMENT,44,1048,2178,1.145
NCP(SP),CORPORATE AFFAIRS,10,737,704,1.144
BJD,AGRICULTURE AND FARMERS WELFARE,54,2754,1019,1.143
BJP,CULTURE,470,1069,22881,1.141
IUML,RAILWAYS,38,2900,682,1.141
CPI,RURAL DEVELOPMENT,11,1389,412,1.141
BAP,"MICRO, SMALL AND MEDIUM ENTERPRISES",3,1131,138,1.141
AAP,RAILWAYS,44,2900,790,1.14
SHS(UBT),LAW AND JUSTICE,12,911,686,1.14
CPI,PETROLEUM AND NATURAL GAS,9,1138,412,1.14
IND.,MINES,8,429,971,1.14
JD(U),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",26,1332,1018,1.139
BJP,POWER,364,830,22881,1.138
IND.,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",19,1021,971,1.138
RJD,CULTURE,11,1069,537,1.138
RSP,RAILWAYS,6,2900,108,1.138
VCK,ELECTRONICS AND INFORMATION TECHNOLOGY,4,971,215,1.138
YSRCP,COMMERCE AND INDUSTRY,33,1356,1271,1.137
NCP,EDUCATION,11,2802,205,1.137
SHS(UBT),"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",4,305,686,1.135
DMK,FOOD PROCESSING INDUSTRIES,52,770,3537,1.134
JD(U),CHEMICALS AND FERTILIZERS,24,1235,1018,1.134
SS,CIVIL AVIATION,46,2129,1132,1.133
IND.,JAL SHAKTI,37,1997,971,1.133
SS,RURAL DEVELOPMENT,30,1389,1132,1.133
BJP,STATISTICS AND PROGRAMME IMPLEMENTATION,137,314,22881,1.132
CPI(ML)(L),HOME AFFAIRS,4,1051,200,1.13
DMK,SPACE,16,238,3537,1.129
CPI,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",8,1021,412,1.129
INC,RAILWAYS,616,2900,11184,1.128
IUML,HEALTH AND FAMILY WELFARE,46,3550,682,1.128
IND.,ROAD TRANSPORT AND HIGHWAYS,38,2061,971,1.128
NCP(SP),LABOUR AND EMPLOYMENT,21,1570,704,1.128
SS,DEFENCE,4,186,1132,1.128
AITC,HOUSING AND URBAN AFFAIRS,88,1823,2544,1.127
RJD,ROAD TRANSPORT AND HIGHWAYS,21,2061,537,1.127
AITC,RURAL DEVELOPMENT,67,1389,2544,1.126
TDP,CHEMICALS AND FERTILIZERS,51,1235,2178,1.126
BJP,TEXTILES,303,699,22881,1.125
AIMIM,RURAL DEVELOPMENT,3,1389,114,1.125
RJD,AGRICULTURE AND FARMERS WELFARE,28,2754,537,1.124
UPPL,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",3,1332,119,1.124
JSP,SPACE,1,238,222,1.124
AAP,AYUSH,17,1138,790,1.123
BJP,INFORMATION AND BROADCASTING,201,465,22881,1.122
AAP,HEALTH AND FAMILY WELFARE,53,3550,790,1.122
RLD,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",4,1809,117,1.122
AAP,PARLIAMENTARY AFFAIRS,1,67,790,1.122
DMK,SOCIAL JUSTICE AND EMPOWERMENT,70,1048,3537,1.121
INC,COMMERCE AND INDUSTRY,286,1356,11184,1.12
NCP(SP),COMMERCE AND INDUSTRY,18,1356,704,1.12
DMK,INFORMATION AND BROADCASTING,31,465,3537,1.119
INC,EXTERNAL AFFAIRS,216,1026,11184,1.118
JD(U),COMMERCE AND INDUSTRY,26,1356,1018,1.118
DMK,RAILWAYS,193,2900,3537,1.117
BJP,EARTH SCIENCES,183,425,22881,1.117
JD(U),HEALTH AND FAMILY WELFARE,68,3550,1018,1.117
